point_id,point,date,datapoint_id,p-a,individuals,bss,section_id,dfbs
p01,POINT (-68.03133 42.83433),2019-01-25,d0004,1,1.0,2,s001,
p02,POINT (-68.337 42.835330000000006),2019-01-25,d0068,1,2.0,2,s001,
p04,POINT (-68.74517000000002 42.585829999999994),2019-03-02,d0480,1,1.0,1,s003,
p05,POINT (-68.60333000000001 42.58583),2019-03-02,d0510,1,2.0,1,s003,
p06,POINT (-68.844 42.5025),2019-03-02,d0910,1,1.0,1,s003,
p08,POINT (-67.11783000000001 42.58267),2019-03-05,d1306,1,5.0,1,s004,
p10,POINT (-67.25083 42.58366999999999),2019-03-05,d1336,1,1.0,2,s004,
p11,POINT (-67.4285 42.500499999999995),2019-03-05,d1527,1,3.0,2,s004,
p13,POINT (-67.639 42.416999999999994),2019-03-05,d1739,1,4.0,3,s004,
a01,POINT (-68.62327183413376 42.83567000879443),2019-01-25,d0127,0,,3,s001,49309.35228953214
a05,POINT (-67.96328088639778 42.750830021669834),2019-01-30,d0226,0,,3,s002,88092.64673076803
a06,POINT (-68.14817304219866 42.75150001418476),2019-01-30,d0260,0,,3,s002,103226.22503613372
a07,POINT (-68.28084320672649 42.75201455318333),2019-01-30,d0285,0,,3,s002,114085.10229790864
a09,POINT (-68.73048768037201 42.75233002903729),2019-01-30,d0372,0,,3,s002,150884.08300499048
a10,POINT (-68.94993350487125 42.75183000251533),2019-01-30,d0417,0,,3,s002,168844.58818056982
a11,POINT (-68.31280756811071 42.58567002107017),2019-03-02,d0570,0,,1,s003,228597.01985616682
a17,POINT (-68.16703717803505 42.585330020431506),2019-03-02,d0600,0,,1,s003,240560.43073865434
a20,POINT (-67.92253275565328 42.5840000126898),2019-03-02,d0650,0,,2,s003,260628.98155890242
a22,POINT (-67.81336387877568 42.525680099574),2019-03-02,d0686,0,,2,s003,275199.79044425464
a24,POINT (-68.05539262288535 42.50183002356372),2019-03-02,d0746,0,,2,s003,297562.2677790436
a26,POINT (-68.23617539376698 42.50250002305988),2019-03-02,d0785,0,,2,s003,312418.6511966757
a31,POINT (-68.46687158512314 42.50300001407844),2019-03-02,d0832,0,,2,s003,331375.3236790444
a32,POINT (-67.08317000113615 42.85486391757079),2019-03-05,d0952,0,,0,s004,379657.25072128064
a36,POINT (-67.24417134840553 42.75027673432549),2019-03-05,d1015,0,,0,s004,404170.5811283185
a41,POINT (-67.60879635926094 42.75033001995521),2019-03-05,d1097,0,,0,s004,434021.0126662864
a44,POINT (-67.69097838653548 42.666670015358456),2019-03-05,d1162,0,,0,s004,459184.248566931
a50,POINT (-67.52597345321924 42.667170026729224),2019-03-05,d1193,0,,0,s004,472709.2757676412
a54,POINT (-67.32677533391939 42.66717001474941),2019-03-05,d1231,0,,0,s004,489036.29111330264
a55,POINT (-67.59305045769736 42.5836700158175),2019-03-05,d1412,0,,2,s004,559516.965328008
a57,POINT (-67.69097136607881 42.50000091394247),2019-03-05,d1477,0,,2,s004,585333.5487035655
a58,POINT (-67.08298206684528 42.48172137143075),2019-03-05,d1595,0,,2,s004,636785.8410880358
a64,POINT (-67.17825220016005 42.41667001552038),2019-03-05,d1633,0,,2,s004,651479.1023714996
a65,POINT (-67.35320601537673 42.41717002048057),2019-03-05,d1672,0,,3,s004,665878.2761457126
