point_id,point,date,datapoint_id,p-a,individuals,section_id,dfbs
p01,POINT (579166.7797354639 4742872.701240047),2019-01-25,d01,1,1.0,,
p03,POINT (548599.8757518252 4742700.214389254),2019-01-25,d03,1,5.0,,
p04,POINT (520909.74101159064 4714855.057674576),2019-02-02,d04,1,1.0,,
p05,POINT (532548.2491036941 4714899.834811135),2019-02-02,d05,1,2.0,,
p07,POINT (504710.40953213436 4705553.391880434),2019-02-02,d07,1,3.0,,
p08,POINT (654449.1355683347 4716189.584359531),2019-02-05,d08,1,5.0,,
p10,POINT (643532.6809191271 4716066.520437773),2019-02-05,d10,1,1.0,,
p11,POINT (629124.489233184 4706545.1055825595),2019-02-05,d11,1,3.0,,
p13,POINT (611976.8572001917 4696974.11096717),2019-02-05,d13,1,4.0,,
a03,POINT (565621.4314743263 4742804.724499651),2019-01-25,,0,,s1,14473.274719934192
a05,POINT (507213.3901505784 4742532.51551026),2019-01-25,,0,,s1,72886.01960026607
a07,POINT (552178.9781933756 4715019.541979241),2019-02-02,,0,,s3,224388.70460459538
a08,POINT (563109.9133637798 4715092.475038627),2019-02-02,,0,,s3,235321.17779964034
a10,POINT (573966.3571503414 4715106.2941196645),2019-02-02,,0,,s3,246179.35001111828
a12,POINT (594775.0346605969 4715211.302552234),2019-02-02,,0,,s3,266991.9794095928
a15,POINT (584820.6558297131 4705975.922198261),2019-02-02,,0,,s3,290353.4420875948
a17,POINT (569166.5784367225 4705913.985692298),2019-02-02,,0,,s3,306009.9641868777
a21,POINT (557580.9051260062 4705827.482943995),2019-02-02,,0,,s3,317596.47433815885
a24,POINT (656697.3305039507 4742515.484813089),2019-02-05,,0,,s4,383622.76022429124
a30,POINT (644827.6727067113 4734590.683505181),2019-02-05,,0,,s4,403037.3378577918
a35,POINT (632710.9066473554 4734364.9711477),2019-02-05,,0,,s4,415156.61016534717
a37,POINT (613882.9027420402 4734028.830246626),2019-02-05,,0,,s4,433991.7591603575
a39,POINT (604059.2516726982 4724543.951497134),2019-02-05,,0,,s4,455969.7403099039
a41,POINT (612606.2692413575 4715496.332274351),2019-02-05,,0,,s4,562361.4284138844
a44,POINT (605347.8178687543 4706067.647236805),2019-02-05,,0,,s4,583121.6424510939
a47,POINT (653756.5546803068 4697689.686554433),2019-02-05,,0,,s4,647608.4332300392
a48,POINT (642719.3110219414 4697534.436817877),2019-02-05,,0,,s4,658648.3463598642
a51,POINT (577864.9084749728 4733622.1436150875),2019-03-03,,0,,s2,95070.85297709638
a52,POINT (567582.7088262503 4733569.405233511),2019-03-03,,0,,s2,105354.1566474648
a56,POINT (538773.0862873427 4733439.768982648),2019-03-03,,0,,s2,134165.86126067152
a58,POINT (523468.9424051167 4733351.9332062155),2019-03-03,,0,,s2,149470.6693149631
a62,POINT (513421.95792585745 4733300.153360478),2019-03-03,,0,,s2,159519.12839364616
a65,POINT (503405.4461436632 4733257.381725439),2019-03-03,,0,,s2,169536.36473351097
