point_id,point,date,datapoint_id,p-a,individuals,bss
p01,POINT (579166.7797354639 4742872.701240047),2019-01-25,d0004,1,1.0,2
p03,POINT (548599.8757518252 4742700.214389254),2019-01-25,d0082,1,5.0,2
p04,POINT (520909.74101159064 4714855.057674576),2019-02-02,d0480,1,1.0,1
p05,POINT (532548.2491036941 4714899.834811135),2019-02-02,d0510,1,2.0,1
p06,POINT (512817.4073997563 4705582.465264553),2019-02-02,d0910,1,1.0,1
p08,POINT (654449.1355683347 4716189.584359531),2019-02-05,d1306,1,5.0,1
p10,POINT (643532.6809191271 4716066.520437773),2019-02-05,d1336,1,1.0,2
p11,POINT (629124.489233184 4706545.1055825595),2019-02-05,d1527,1,3.0,2
p13,POINT (611976.8572001917 4696974.11096717),2019-02-05,d1739,1,4.0,3
a01,POINT (527480.8256882718 4742612.496009938),2019-01-25,d0135,0,,3
a03,POINT (517367.6033482666 4742588.391177858),2019-01-25,d0162,0,,3
a18,POINT (569417.2116677014 4733568.722000732),2019-03-03,d0260,0,,3
a20,POINT (534677.6808378542 4733417.991044185),2019-03-03,d0342,0,,3
a06,POINT (569159.9925249584 4715094.544276196),2019-02-02,d0602,0,,1
a07,POINT (620277.0788082846 4734156.1108739665),2019-02-05,d1080,0,,0
a10,POINT (650344.7819312371 4725468.428983927),2019-02-05,d1261,0,,0
a13,POINT (602732.9354939627 4710901.418575131),2019-02-05,d1456,0,,2
a14,POINT (650240.5739011286 4697655.471040505),2019-02-05,d1632,0,,2
