point_id,point,date,datapoint_id,p-a,individuals,bss,section_id,dfbs
p01,POINT (579166.7797354639 4742872.701240047),2019-01-25,d0004,1,1.0,2,s001,
p03,POINT (548599.8757518252 4742700.214389254),2019-01-25,d0082,1,5.0,2,s001,
p04,POINT (520909.74101159064 4714855.057674576),2019-02-02,d0480,1,1.0,1,s003,
p05,POINT (532548.2491036941 4714899.834811135),2019-02-02,d0510,1,2.0,1,s003,
p07,POINT (504710.40953213436 4705553.391880434),2019-02-02,d0930,1,3.0,1,s003,
p08,POINT (654449.1355683347 4716189.584359531),2019-02-05,d1306,1,5.0,1,s004,
p10,POINT (643532.6809191271 4716066.520437773),2019-02-05,d1336,1,1.0,2,s004,
p11,POINT (629124.489233184 4706545.1055825595),2019-02-05,d1527,1,3.0,2,s004,
p12,POINT (620560.8183942926 4697116.948551958),2019-02-05,d1715,1,2.0,3,s004,
a03,POINT (530459.9429948567 4742633.852259236),2019-01-25,d0127,0,,3,s001,49637.62523639791
a04,POINT (516925.50529958046 4742587.293194521),2019-01-25,d0164,0,,3,s001,63173.008608933495
a07,POINT (504386.9472847276 4742512.370200048),2019-01-25,d0195,0,,2,s001,75712.87538592858
a51,POINT (586774.1081129751 4733672.797833822),2019-03-03,d0221,0,,3,s002,86160.54286553478
a53,POINT (561831.3913649961 4733552.172108373),2019-03-03,d0278,0,,3,s002,111106.16982381119
a55,POINT (546391.1225461834 4733467.857590453),2019-03-03,d0314,0,,3,s002,126547.3660147074
a57,POINT (534293.3346864241 4733416.072557385),2019-03-03,d0343,0,,3,s002,138645.67561373286
a62,POINT (512472.8399882728 4733286.682039836),2019-03-03,d0396,0,,3,s002,160468.5083715165
a65,POINT (500390.9794832463 4733238.784386669),2019-03-03,d0425,0,,3,s002,172551.2121849883
a09,POINT (543582.6288896076 4714979.173574942),2019-02-02,d0538,0,,1,s003,215791.82266024256
a10,POINT (554255.8002240891 4715017.684148226),2019-02-02,d0565,0,,1,s003,226465.8353127703
a12,POINT (565722.7377535924 4715097.821605401),2019-02-02,d0593,0,,1,s003,237934.38788656122
a13,POINT (582485.4539101119 4715162.793796772),2019-02-02,d0635,0,,2,s003,254700.26240515857
a16,POINT (592901.3927073674 4705979.13737486),2019-02-02,d0705,0,,2,s003,282271.0025109605
a20,POINT (549391.8301197959 4705782.385580129),2019-02-02,d0818,0,,2,s003,325786.10710142186
a22,POINT (656792.4697446359 4738331.588642172),2019-02-05,d0971,0,,0,s004,387807.73795953655
a23,POINT (640868.3432095271 4734526.555337041),2019-02-05,d1023,0,,0,s004,406997.57293794135
a28,POINT (629994.1211298421 4734332.182726206),2019-02-05,d1053,0,,0,s004,417875.04948962154
a30,POINT (619733.0372600124 4734146.658777361),2019-02-05,d1081,0,,0,s004,428139.80917256407
a33,POINT (607453.8167902839 4733908.038760561),2019-02-05,d1115,0,,0,s004,440422.3858132898
a36,POINT (612816.3427944526 4724755.463542239),2019-02-05,d1175,0,,0,s004,464730.73088003293
a39,POINT (636975.2081204193 4725209.987745585),2019-02-05,d1230,0,,0,s004,488894.26323241345
a42,POINT (618394.2152235262 4715610.339806148),2019-02-05,d1404,0,,2,s004,556571.9533151329
a46,POINT (602756.8807756912 4707738.878555692),2019-02-05,d1463,0,,2,s004,579314.2312574139
a47,POINT (657469.4319228571 4705561.058224713),2019-02-05,d1594,0,,2,s004,636260.1939787209
a49,POINT (642287.1955235688 4697525.624679828),2019-02-05,d1654,0,,2,s004,659080.5517020153
